champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Twitch,Senna,29,235,2.75,2.43,0.6391,0.3609,0.523,0.486,22010,16381,0 days 00:18:18,0 days 00:18:05,0.5421,0.4579,0.5086,0.4795,0.0151,0.0107,0.0014,0.2869
Senna,Ezreal,235,81,2.81,2.31,0.4716,0.5284,0.497,0.442,16254,21582,0 days 00:17:15,0 days 00:18:19,0.5124,0.4876,0.4795,0.4785,0.0107,0.2779,0.2869,0.0323
Swain,Jinx,50,222,3.02,2.15,0.6068,0.3932,0.521,0.463,20101,18093,0 days 00:17:11,0 days 00:17:15,0.5636,0.4364,0.5593,0.5083,0.012,0.2215,0.0096,0.0857
Tristana,Aphelios,18,523,2.68,2.01,0.5434,0.4566,0.47,0.448,17416,17645,0 days 00:16:32,0 days 00:16:30,0.5393,0.4607,0.5021,0.4687,0.0967,0.0365,0.0502,0.0039
Ezreal,Tahm Kench,81,223,2.37,2.68,0.4583,0.5417,0.447,0.419,22943,8733,0 days 00:17:13,0 days 00:17:39,0.4754,0.5246,0.4785,0.5429,0.2779,0.0098,0.0323,0.0023
Tahm Kench,Jinx,223,222,2.93,2.33,0.6264,0.3736,0.452,0.462,8761,18846,0 days 00:16:54,0 days 00:16:38,0.5282,0.4718,0.5429,0.5083,0.0098,0.2215,0.0023,0.0857
Lucian,Miss Fortune,236,21,2.29,2.43,0.5292,0.4708,0.45,0.475,17797,19317,0 days 00:17:44,0 days 00:17:26,0.4525,0.5475,0.4691,0.5107,0.0479,0.0356,0.0429,0.0012
Sivir,Ezreal,15,81,2.8,2.19,0.5176,0.4824,0.461,0.416,19240,19570,0 days 00:18:34,0 days 00:16:29,0.5517,0.4483,0.5184,0.4785,0.0371,0.2779,0.012,0.0323
Yasuo,Aphelios,157,523,2.33,2.0,0.5171,0.4829,0.482,0.448,17183,17615,0 days 00:17:13,0 days 00:17:10,0.5579,0.4421,0.4872,0.4687,0.0075,0.0365,0.1144,0.0039
Yasuo,Jinx,157,222,2.08,2.53,0.566,0.434,0.447,0.486,17205,17831,0 days 00:17:43,0 days 00:16:37,0.499,0.501,0.4872,0.5083,0.0075,0.2215,0.1144,0.0857
Xayah,Yasuo,498,157,2.96,1.79,0.6183,0.3817,0.514,0.426,19842,15341,0 days 00:17:19,0 days 00:16:50,0.5441,0.4559,0.4769,0.4872,0.0289,0.0075,0.0009,0.1144
Aphelios,Kai'Sa,523,145,2.07,2.88,0.4519,0.5481,0.449,0.488,18002,17213,0 days 00:17:39,0 days 00:16:11,0.4771,0.5229,0.4687,0.5018,0.0365,0.3738,0.0039,0.0619
Senna,Ashe,235,22,2.63,2.52,0.4743,0.5257,0.491,0.469,15804,16788,0 days 00:17:20,0 days 00:18:20,0.4727,0.5273,0.4795,0.5115,0.0107,0.0531,0.2869,0.0017
Tahm Kench,Tristana,223,18,2.92,2.45,0.6547,0.3453,0.453,0.451,9410,17900,0 days 00:17:21,0 days 00:16:19,0.5251,0.4749,0.5429,0.5021,0.0098,0.0967,0.0023,0.0502
Draven,Tristana,119,18,2.14,2.51,0.4926,0.5074,0.451,0.469,18209,17153,0 days 00:16:32,0 days 00:17:04,0.4828,0.5172,0.4987,0.5021,0.0193,0.0967,0.0035,0.0502
Twitch,Aphelios,29,523,2.77,1.8,0.5765,0.4235,0.527,0.425,20421,16167,0 days 00:16:25,0 days 00:17:22,0.5372,0.4628,0.5086,0.4687,0.0151,0.0365,0.0014,0.0039
Varus,Ashe,110,22,2.32,2.39,0.5325,0.4675,0.462,0.454,19111,15760,0 days 00:18:15,0 days 00:17:21,0.4836,0.5164,0.4991,0.5115,0.0774,0.0531,0.0151,0.0017
Swain,Jhin,50,202,2.64,2.7,0.5298,0.4702,0.483,0.505,19552,18224,0 days 00:18:02,0 days 00:18:11,0.5525,0.4475,0.5593,0.511,0.012,0.1309,0.0096,0.0033
Samira,Jhin,360,202,2.22,2.86,0.5004,0.4996,0.467,0.503,17762,17255,0 days 00:17:26,0 days 00:17:26,0.4959,0.5041,0.4991,0.511,0.2017,0.1309,0.6463,0.0033
Jinx,Aphelios,222,523,2.83,2.15,0.5062,0.4938,0.486,0.442,17799,17588,0 days 00:16:11,0 days 00:16:58,0.538,0.462,0.5083,0.4687,0.2215,0.0365,0.0857,0.0039
Xayah,Kai'Sa,498,145,2.5,2.63,0.521,0.479,0.461,0.471,17717,17577,0 days 00:17:59,0 days 00:16:38,0.4842,0.5158,0.4769,0.5018,0.0289,0.3738,0.0009,0.0619
Ashe,Swain,22,50,2.2,2.69,0.3933,0.6067,0.454,0.518,17029,20028,0 days 00:17:43,0 days 00:17:32,0.5161,0.4839,0.5115,0.5593,0.0531,0.012,0.0017,0.0096
Jhin,Kalista,202,429,2.96,2.17,0.51,0.49,0.501,0.456,17652,16627,0 days 00:16:55,0 days 00:17:37,0.5107,0.4893,0.511,0.5042,0.1309,0.0196,0.0033,0.0029
Lucian,Twitch,236,29,2.34,2.37,0.4946,0.5054,0.455,0.495,18113,19774,0 days 00:18:29,0 days 00:16:37,0.5357,0.4643,0.4691,0.5086,0.0479,0.0151,0.0429,0.0014
Xayah,Aphelios,498,523,2.72,1.97,0.5839,0.4161,0.478,0.423,17552,18139,0 days 00:17:11,0 days 00:17:07,0.5202,0.4798,0.4769,0.4687,0.0289,0.0365,0.0009,0.0039
Ashe,Miss Fortune,22,21,2.44,2.29,0.5018,0.4982,0.465,0.459,16007,17774,0 days 00:17:16,0 days 00:17:44,0.4923,0.5077,0.5115,0.5107,0.0531,0.0356,0.0017,0.0012
Senna,Samira,235,360,2.79,2.26,0.4657,0.5343,0.53,0.47,17860,17488,0 days 00:16:59,0 days 00:17:47,0.5007,0.4993,0.4795,0.4991,0.0107,0.2017,0.2869,0.6463
Vayne,Kog'Maw,67,96,2.21,2.3,0.4861,0.5139,0.441,0.491,16318,23018,0 days 00:16:48,0 days 00:18:21,0.4945,0.5055,0.5094,0.4997,0.1034,0.0264,0.0528,0.0025
Twitch,Caitlyn,29,51,2.65,2.08,0.5743,0.4257,0.494,0.429,20106,17312,0 days 00:15:50,0 days 00:18:08,0.5221,0.4779,0.5086,0.5039,0.0151,0.0868,0.0014,0.011
Jinx,Ashe,222,22,2.33,2.63,0.4648,0.5352,0.461,0.478,16917,16551,0 days 00:17:09,0 days 00:17:11,0.485,0.515,0.5083,0.5115,0.2215,0.0531,0.0857,0.0017
Samira,Sivir,360,15,2.3,2.6,0.5437,0.4563,0.463,0.484,17897,19304,0 days 00:16:35,0 days 00:18:00,0.4894,0.5106,0.4991,0.5184,0.2017,0.0371,0.6463,0.012
Jinx,Yasuo,222,157,2.53,2.08,0.4353,0.5647,0.487,0.446,17841,17142,0 days 00:16:38,0 days 00:17:42,0.5,0.5,0.5083,0.4872,0.2215,0.0075,0.0857,0.1144
Ezreal,Yasuo,81,157,2.4,2.07,0.4648,0.5352,0.464,0.442,21604,17829,0 days 00:16:39,0 days 00:18:27,0.4676,0.5324,0.4785,0.4872,0.2779,0.0075,0.0323,0.1144
Draven,Ezreal,119,81,2.22,2.41,0.5047,0.4953,0.441,0.453,18425,20687,0 days 00:17:25,0 days 00:16:57,0.5059,0.4941,0.4987,0.4785,0.0193,0.2779,0.0035,0.0323
Jinx,Vayne,222,67,2.48,2.38,0.4723,0.5277,0.476,0.449,17943,16955,0 days 00:17:39,0 days 00:16:25,0.4955,0.5045,0.5083,0.5094,0.2215,0.1034,0.0857,0.0528
Samira,Tristana,360,18,2.4,2.41,0.5205,0.4795,0.488,0.478,18197,17244,0 days 00:16:24,0 days 00:17:04,0.509,0.491,0.4991,0.5021,0.2017,0.0967,0.6463,0.0502
Draven,Yasuo,119,157,2.27,1.89,0.4868,0.5132,0.473,0.434,19196,16939,0 days 00:16:30,0 days 00:17:41,0.4954,0.5046,0.4987,0.4872,0.0193,0.0075,0.0035,0.1144
Lucian,Caitlyn,236,51,2.44,2.35,0.534,0.466,0.452,0.447,17703,18638,0 days 00:16:37,0 days 00:17:34,0.4784,0.5216,0.4691,0.5039,0.0479,0.0868,0.0429,0.011
Caitlyn,Swain,51,50,2.11,2.95,0.4018,0.5982,0.446,0.508,18372,20003,0 days 00:17:47,0 days 00:16:43,0.4623,0.5377,0.5039,0.5593,0.0868,0.012,0.011,0.0096
Ashe,Ezreal,22,81,2.49,2.24,0.4994,0.5006,0.465,0.439,16540,20911,0 days 00:17:35,0 days 00:17:38,0.5268,0.4732,0.5115,0.4785,0.0531,0.2779,0.0017,0.0323
Xayah,Tahm Kench,498,223,2.27,3.2,0.3987,0.6013,0.435,0.48,19426,9887,0 days 00:17:29,0 days 00:17:35,0.4059,0.5941,0.4769,0.5429,0.0289,0.0098,0.0009,0.0023
Swain,Kog'Maw,50,96,2.69,2.05,0.579,0.421,0.52,0.488,20212,24823,0 days 00:19:08,0 days 00:18:04,0.5053,0.4947,0.5593,0.4997,0.012,0.0264,0.0096,0.0025
Jinx,Kog'Maw,222,96,2.58,2.35,0.4847,0.5153,0.465,0.483,17242,22366,0 days 00:17:14,0 days 00:17:23,0.5081,0.4919,0.5083,0.4997,0.2215,0.0264,0.0857,0.0025
Tristana,Swain,18,50,2.25,2.88,0.4821,0.5179,0.46,0.529,18323,20720,0 days 00:17:58,0 days 00:16:58,0.4726,0.5274,0.5021,0.5593,0.0967,0.012,0.0502,0.0096
Vayne,Aphelios,67,523,2.45,2.09,0.5088,0.4912,0.457,0.458,16992,18653,0 days 00:15:57,0 days 00:17:59,0.5327,0.4673,0.5094,0.4687,0.1034,0.0365,0.0528,0.0039
Yasuo,Twitch,157,29,1.69,2.71,0.502,0.498,0.409,0.498,17060,20951,0 days 00:18:33,0 days 00:17:16,0.4552,0.5448,0.4872,0.5086,0.0075,0.0151,0.1144,0.0014
Miss Fortune,Twitch,21,29,2.09,2.54,0.4295,0.5705,0.453,0.503,17759,20330,0 days 00:18:01,0 days 00:17:06,0.4937,0.5063,0.5107,0.5086,0.0356,0.0151,0.0012,0.0014
Lucian,Vayne,236,67,2.39,2.2,0.563,0.437,0.475,0.443,19340,17863,0 days 00:18:37,0 days 00:16:32,0.4616,0.5384,0.4691,0.5094,0.0479,0.1034,0.0429,0.0528
Twitch,Varus,29,110,2.49,2.17,0.5467,0.4533,0.506,0.459,21295,19083,0 days 00:17:36,0 days 00:18:40,0.5123,0.4877,0.5086,0.4991,0.0151,0.0774,0.0014,0.0151
Lucian,Tristana,236,18,2.34,2.43,0.5162,0.4838,0.466,0.456,18514,17919,0 days 00:17:05,0 days 00:17:06,0.4763,0.5237,0.4691,0.5021,0.0479,0.0967,0.0429,0.0502
Swain,Ezreal,50,81,2.85,2.21,0.5644,0.4356,0.499,0.456,19684,22794,0 days 00:17:33,0 days 00:17:56,0.5602,0.4398,0.5593,0.4785,0.012,0.2779,0.0096,0.0323
Yasuo,Ashe,157,22,1.97,2.42,0.5535,0.4465,0.435,0.483,16857,16411,0 days 00:17:57,0 days 00:16:33,0.4915,0.5085,0.4872,0.5115,0.0075,0.0531,0.1144,0.0017
Kalista,Twitch,429,29,2.01,2.63,0.4497,0.5503,0.457,0.505,15506,19486,0 days 00:17:23,0 days 00:16:33,0.4603,0.5397,0.5042,0.5086,0.0196,0.0151,0.0029,0.0014
Ashe,Sivir,22,15,2.42,2.49,0.526,0.474,0.449,0.456,16039,18696,0 days 00:16:54,0 days 00:18:36,0.4993,0.5007,0.5115,0.5184,0.0531,0.0371,0.0017,0.012
Senna,Kai'Sa,235,145,2.72,2.65,0.4144,0.5856,0.505,0.47,16601,17834,0 days 00:17:15,0 days 00:18:03,0.4938,0.5062,0.4795,0.5018,0.0107,0.3738,0.2869,0.0619
Samira,Varus,360,110,2.19,2.47,0.4952,0.5048,0.455,0.488,16659,19535,0 days 00:17:02,0 days 00:17:32,0.4995,0.5005,0.4991,0.4991,0.2017,0.0774,0.6463,0.0151
Yasuo,Sivir,157,15,1.98,2.62,0.5033,0.4967,0.432,0.477,16911,19533,0 days 00:17:35,0 days 00:17:09,0.5187,0.4813,0.4872,0.5184,0.0075,0.0371,0.1144,0.012
Tahm Kench,Jhin,223,202,2.48,2.89,0.5567,0.4433,0.415,0.482,8851,18716,0 days 00:17:51,0 days 00:17:39,0.4943,0.5057,0.5429,0.511,0.0098,0.1309,0.0023,0.0033
Samira,Miss Fortune,360,21,2.29,2.39,0.5254,0.4746,0.474,0.494,17644,18983,0 days 00:16:43,0 days 00:17:31,0.4898,0.5102,0.4991,0.5107,0.2017,0.0356,0.6463,0.0012
Tahm Kench,Kog'Maw,223,96,2.54,2.29,0.6007,0.3993,0.446,0.485,8356,25679,0 days 00:17:06,0 days 00:17:18,0.4908,0.5092,0.5429,0.4997,0.0098,0.0264,0.0023,0.0025
Aphelios,Twitch,523,29,1.8,2.77,0.4276,0.5724,0.424,0.528,16129,20410,0 days 00:17:18,0 days 00:16:25,0.4603,0.5397,0.4687,0.5086,0.0365,0.0151,0.0039,0.0014
Yasuo,Kalista,157,429,1.9,2.31,0.5028,0.4972,0.441,0.485,16810,17244,0 days 00:16:58,0 days 00:17:00,0.4768,0.5232,0.4872,0.5042,0.0075,0.0196,0.1144,0.0029
Jinx,Twitch,222,29,2.15,2.82,0.3767,0.6233,0.453,0.512,16444,20593,0 days 00:17:21,0 days 00:16:58,0.4714,0.5286,0.5083,0.5086,0.2215,0.0151,0.0857,0.0014
Kai'Sa,Miss Fortune,145,21,2.54,2.44,0.5197,0.4803,0.461,0.478,16841,18639,0 days 00:16:52,0 days 00:17:51,0.4888,0.5112,0.5018,0.5107,0.3738,0.0356,0.0619,0.0012
Caitlyn,Senna,51,235,2.39,2.97,0.5636,0.4364,0.445,0.503,18002,16017,0 days 00:18:35,0 days 00:15:48,0.4957,0.5043,0.5039,0.4795,0.0868,0.0107,0.011,0.2869
Ashe,Varus,22,110,2.38,2.32,0.4669,0.5331,0.454,0.462,15779,19132,0 days 00:17:21,0 days 00:18:15,0.5147,0.4853,0.5115,0.4991,0.0531,0.0774,0.0017,0.0151
Sivir,Swain,15,50,2.52,2.66,0.4586,0.5414,0.462,0.501,21094,20065,0 days 00:18:59,0 days 00:16:37,0.5222,0.4778,0.5184,0.5593,0.0371,0.012,0.012,0.0096
Yasuo,Jhin,157,202,1.87,2.96,0.5144,0.4856,0.431,0.5,16904,16983,0 days 00:18:23,0 days 00:16:43,0.4733,0.5267,0.4872,0.511,0.0075,0.1309,0.1144,0.0033
Kalista,Vayne,429,67,2.31,2.26,0.5356,0.4644,0.477,0.462,16929,17731,0 days 00:17:55,0 days 00:16:06,0.4777,0.5223,0.5042,0.5094,0.0196,0.1034,0.0029,0.0528
Ashe,Caitlyn,22,51,2.59,2.25,0.5022,0.4978,0.466,0.436,16090,17087,0 days 00:16:23,0 days 00:17:58,0.5161,0.4839,0.5115,0.5039,0.0531,0.0868,0.0017,0.011
