champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Master Yi,Taliyah,11,163,2.09,2.7,0.467,0.511,15840,16940,0.4861,0.5139,0.466,0.5241,0.023,0.0269,0.0052,0.0032
Fiddlesticks,Karthus,9,30,2.81,2.67,0.479,0.588,16081,27081,0.5078,0.4922,0.5293,0.522,0.0349,0.0283,0.0151,0.0393
Shaco,Gragas,35,79,2.99,2.76,0.523,0.471,14843,15266,0.5102,0.4898,0.5114,0.5147,0.0741,0.0191,0.287,0.0032
Morgana,Lillia,25,876,3.31,2.29,0.509,0.468,16354,16045,0.5832,0.4168,0.5135,0.454,0.0793,0.0152,0.485,0.0037
Lee Sin,Amumu,64,32,2.98,2.48,0.534,0.478,15378,13039,0.5084,0.4916,0.5123,0.4848,0.2982,0.0063,0.4717,0.0017
Wukong,Shyvana,62,102,2.85,2.88,0.486,0.465,14066,17718,0.4519,0.5481,0.4928,0.4748,0.0079,0.0057,0.0097,0.0008
Evelynn,Kha'Zix,28,121,2.74,2.5,0.51,0.487,19646,18031,0.5055,0.4945,0.5243,0.5083,0.0339,0.0498,0.0203,0.0054
Hecarim,Shaco,120,35,2.75,3.0,0.51,0.52,14289,15790,0.4646,0.5354,0.4491,0.5114,0.0182,0.0741,0.019,0.287
Diana,Nunu & Willump,131,20,2.61,3.2,0.513,0.539,18450,11134,0.5004,0.4996,0.4855,0.505,0.0876,0.0373,0.0866,0.011
Rek'Sai,Jax,421,24,2.78,2.1,0.516,0.458,14913,14261,0.5327,0.4673,0.5038,0.4894,0.0507,0.0052,0.0542,0.0239
Zac,Ivern,154,427,3.36,3.52,0.508,0.516,11614,8799,0.5244,0.4756,0.5129,0.5256,0.0361,0.009,0.0073,0.0018
Shyvana,Lillia,102,876,2.59,2.65,0.434,0.478,17782,16472,0.5097,0.4903,0.4748,0.454,0.0057,0.0152,0.0008,0.0037
Nidalee,Sejuani,76,113,2.72,3.38,0.518,0.517,16864,12062,0.4457,0.5543,0.4819,0.5138,0.104,0.0168,0.0465,0.0009
Trundle,Olaf,48,2,3.15,2.41,0.53,0.489,13159,16958,0.5374,0.4626,0.4991,0.4805,0.0085,0.0198,0.0007,0.0127
Kindred,Ekko,203,245,2.39,2.62,0.506,0.486,18545,15570,0.5185,0.4815,0.5016,0.494,0.1107,0.0476,0.0594,0.0128
Nocturne,Nunu & Willump,56,20,2.62,3.15,0.498,0.531,15034,11454,0.4832,0.5168,0.498,0.505,0.0378,0.0373,0.0236,0.011
Karthus,Viego,30,234,2.57,2.28,0.568,0.473,26406,16365,0.5164,0.4836,0.522,0.4786,0.0283,0.0718,0.0393,0.1371
Hecarim,Karthus,120,30,2.78,2.68,0.514,0.571,13976,26872,0.4377,0.5623,0.4491,0.522,0.0182,0.0283,0.019,0.0393
Ekko,Trundle,245,48,3.04,2.8,0.497,0.488,17330,12902,0.5366,0.4634,0.494,0.4991,0.0476,0.0085,0.0128,0.0007
Master Yi,Morgana,11,25,2.09,3.04,0.461,0.499,15847,14861,0.4811,0.5189,0.466,0.5135,0.023,0.0793,0.0052,0.485
Rengar,Jax,107,24,2.34,2.31,0.487,0.482,14832,15499,0.507,0.493,0.4819,0.4894,0.0086,0.0052,0.0111,0.0239
Nocturne,Diana,56,131,2.83,2.34,0.507,0.493,15029,17219,0.5079,0.4921,0.498,0.4855,0.0378,0.0876,0.0236,0.0866
Olaf,Gragas,2,79,2.72,2.76,0.487,0.509,17105,15309,0.5336,0.4664,0.4805,0.5147,0.0198,0.0191,0.0127,0.0032
Udyr,Evelynn,77,28,2.78,2.92,0.459,0.511,11200,19024,0.5048,0.4952,0.4838,0.5243,0.0211,0.0339,0.0151,0.0203
Kindred,Jax,203,24,2.29,2.28,0.497,0.44,16349,13467,0.5055,0.4945,0.5016,0.4894,0.1107,0.0052,0.0594,0.0239
Trundle,Master Yi,48,11,3.03,2.08,0.495,0.466,12383,16631,0.5278,0.4722,0.4991,0.466,0.0085,0.023,0.0007,0.0052
Morgana,Kindred,25,203,2.88,2.3,0.498,0.496,14460,17425,0.5069,0.4931,0.5135,0.5016,0.0793,0.1107,0.485,0.0594
Rammus,Ivern,33,427,2.68,3.6,0.461,0.492,11571,9274,0.4911,0.5089,0.5005,0.5256,0.0151,0.009,0.0178,0.0018
Shaco,Viego,35,234,3.16,2.06,0.523,0.464,15366,15499,0.5322,0.4678,0.5114,0.4786,0.0741,0.0718,0.287,0.1371
Vi,Rammus,254,33,2.51,3.01,0.479,0.518,13219,11650,0.4912,0.5088,0.4944,0.5005,0.0131,0.0151,0.0008,0.0178
Warwick,Sejuani,19,113,2.57,3.22,0.522,0.528,13674,12880,0.5226,0.4774,0.51,0.5138,0.0223,0.0168,0.003,0.0009
Vi,Lillia,254,876,2.68,2.45,0.477,0.489,14766,16740,0.5397,0.4603,0.4944,0.454,0.0131,0.0152,0.0008,0.0037
Wukong,Jarvan IV,62,59,2.64,3.35,0.491,0.588,15495,13091,0.4585,0.5415,0.4928,0.5015,0.0079,0.0237,0.0097,0.0007
Morgana,Ivern,25,427,3.17,3.34,0.531,0.472,15048,7780,0.5099,0.4901,0.5135,0.5256,0.0793,0.009,0.485,0.0018
Rengar,Zac,107,154,2.34,4.01,0.471,0.521,16492,13813,0.4729,0.5271,0.4819,0.5129,0.0086,0.0361,0.0111,0.0073
Rumble,Udyr,68,77,2.71,2.87,0.523,0.466,18320,10652,0.4994,0.5006,0.4892,0.4838,0.1175,0.0211,0.2828,0.0151
Morgana,Ekko,25,245,3.18,2.57,0.516,0.485,16416,16101,0.5393,0.4607,0.5135,0.494,0.0793,0.0476,0.485,0.0128
Lee Sin,Trundle,64,48,2.94,2.83,0.536,0.511,15142,13000,0.5008,0.4992,0.5123,0.4991,0.2982,0.0085,0.4717,0.0007
Morgana,Evelynn,25,28,2.97,2.88,0.51,0.503,15814,19199,0.4986,0.5014,0.5135,0.5243,0.0793,0.0339,0.485,0.0203
Ivern,Jarvan IV,427,59,3.51,3.18,0.506,0.585,8230,11304,0.5077,0.4923,0.5256,0.5015,0.009,0.0237,0.0018,0.0007
Karthus,Ekko,30,245,2.42,3.09,0.55,0.499,25720,17637,0.4747,0.5253,0.522,0.494,0.0283,0.0476,0.0393,0.0128
Kha'Zix,Rammus,121,33,2.62,2.9,0.495,0.503,16774,12250,0.4775,0.5225,0.5083,0.5005,0.0498,0.0151,0.0054,0.0178
Shaco,Elise,35,60,2.94,2.38,0.529,0.479,15023,14698,0.5178,0.4822,0.5114,0.5268,0.0741,0.1231,0.287,0.514
Graves,Nunu & Willump,104,20,2.54,3.21,0.488,0.521,16577,10841,0.4416,0.5584,0.4524,0.505,0.0537,0.0373,0.0228,0.011
Lee Sin,Evelynn,64,28,2.88,2.88,0.529,0.522,15061,19490,0.5032,0.4968,0.5123,0.5243,0.2982,0.0339,0.4717,0.0203
