champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate,position
Sylas,Sion,517,14,1.93,2.22,0.5811,0.4189,0.418,0.397,18648.0,16355.0,0 days 00:17:58,0 days 00:17:57,0.4777,0.5223,0.5016,0.5135,0.1206,0.0301,0.242,0.0051,top
Nasus,Renekton,75,58,1.91,2.0,0.5002,0.4998,0.344,0.371,17577.0,17450.0,0 days 00:15:25,0 days 00:17:44,0.5123,0.4877,0.4941,0.4912,0.0166,0.08800000000000001,0.0043,0.1333,top
Volibear,Rumble,106,68,2.33,1.84,0.6006,0.3994,0.4,0.40399999999999997,15207.0,19884.0,0 days 00:18:02,0 days 00:17:38,0.5379,0.4621,0.5094,0.4868,0.0393,0.0289,0.0479,0.2814,top
Singed,Lucian,27,236,1.87,1.81,0.3665,0.6335,0.36,0.37799999999999995,11995.0,19616.0,0 days 00:15:40,0 days 00:17:24,0.5431,0.4569,0.5142,0.4612,0.0101,0.0193,0.0013,0.0429,top
Singed,Darius,27,122,1.69,2.23,0.3507,0.6493,0.371,0.39299999999999996,16205.0,17666.0,0 days 00:16:05,0 days 00:18:14,0.4766,0.5234,0.5142,0.5073,0.0101,0.0449,0.0013,0.1331,top
Aatrox,Irelia,266,39,2.02,1.6,0.4303,0.5697,0.37799999999999995,0.373,16118.0,18564.0,0 days 00:16:02,0 days 00:17:35,0.5197,0.4803,0.5033,0.4577,0.1485,0.0677,0.1015,0.1462,top
Darius,Jax,122,24,1.91,1.71,0.4846,0.5154,0.374,0.355,15126.0,16908.0,0 days 00:16:06,0 days 00:16:35,0.5198,0.4802,0.5073,0.5016,0.0449,0.0422,0.1331,0.0243,top
Poppy,Shen,78,98,2.21,2.81,0.5455,0.4545,0.396,0.442,15861.0,12124.0,0 days 00:21:28,0 days 00:17:27,0.4805,0.5195,0.5177,0.5191,0.0274,0.0775,0.0383,0.1125,top
Malphite,Urgot,54,6,2.72,1.83,0.5251,0.4749,0.408,0.373,14149.0,14890.0,0 days 00:17:18,0 days 00:18:31,0.5403,0.4597,0.5058,0.5006,0.046,0.0178,0.1194,0.0019,top
Quinn,Kalista,133,429,2.07,1.43,0.4727,0.5273,0.439,0.382,18608.0,17488.0,0 days 00:14:03,0 days 00:18:12,0.5764,0.4236,0.5025,0.4445,0.0091,0.0055,0.0114,0.0029,top
Kennen,Mordekaiser,85,82,1.93,1.96,0.3187,0.6813,0.349,0.34299999999999997,18202.0,16540.0,0 days 00:17:52,0 days 00:19:32,0.4921,0.5079,0.496,0.4973,0.0274,0.0419,0.0064,0.0158,top
Lee Sin,Volibear,64,106,1.87,2.39,0.3862,0.6138,0.42100000000000004,0.42,17553.0,17740.0,0 days 00:16:31,0 days 00:17:21,0.4652,0.5348,0.5086,0.5094,0.0572,0.0393,0.4689,0.0479,top
Sion,Heimerdinger,14,74,2.81,1.46,0.5158,0.4842,0.37,0.312,12717.0,23933.0,0 days 00:17:51,0 days 00:18:28,0.5566,0.4434,0.5135,0.5131,0.0301,0.0086,0.0051,0.0085,top
Fiora,Wukong,114,62,1.46,2.22,0.431,0.569,0.33799999999999997,0.4,16735.0,17027.0,0 days 00:16:13,0 days 00:16:40,0.4528,0.5472,0.508,0.5155,0.0525,0.0318,0.0698,0.0095,top
Cho'Gath,Dr. Mundo,31,36,2.01,2.31,0.4537,0.5463,0.36,0.376,15916.0,21750.0,0 days 00:16:24,0 days 00:17:56,0.4238,0.5762,0.5029,0.4979,0.01,0.0063,0.001,0.0009,top
Darius,Nocturne,122,56,1.83,2.14,0.4912,0.5088,0.385,0.418,15443.0,16662.0,0 days 00:16:02,0 days 00:16:29,0.4672,0.5328,0.5073,0.5331,0.0449,0.0142,0.1331,0.0231,top
Yorick,Kled,83,240,1.49,2.8,0.3384,0.6616,0.307,0.43,18995.0,18298.0,0 days 00:16:40,0 days 00:15:40,0.4177,0.5823,0.4766,0.5172,0.0054,0.0282,0.0033,0.0121,top
Pantheon,Vladimir,80,8,2.3,1.7,0.5806,0.4194,0.415,0.36,18417.0,17318.0,0 days 00:17:31,0 days 00:16:46,0.5662,0.4338,0.5229,0.498,0.0077,0.0342,0.1064,0.0247,top
Garen,Pantheon,86,80,1.99,2.14,0.4759,0.5241,0.386,0.419,15655.0,18753.0,0 days 00:18:19,0 days 00:16:01,0.4661,0.5339,0.5028,0.5229,0.0341,0.0077,0.0168,0.1064,top
