champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Qiyana,Sylas,246,517,1.98,2.1,0.492,0.508,0.468,0.462,20715,18495,0 days 00:18:00,0 days 00:18:31,0.4716,0.5284,0.5096,0.4944,0.0724,0.1351,0.1252,0.242
Ryze,Malzahar,13,90,1.99,2.92,0.3719,0.6281,0.375,0.406,14978,18203,0 days 00:17:01,0 days 00:18:37,0.41,0.59,0.4512,0.5242,0.0154,0.0138,0.0025,0.0045
Mordekaiser,Malphite,82,54,2.03,2.19,0.7213,0.2787,0.384,0.423,18857,15864,0 days 00:18:47,0 days 00:17:03,0.5195,0.4805,0.5106,0.5346,0.0051,0.0129,0.0158,0.1194
Aurelion Sol,Anivia,136,34,2.58,2.54,0.3421,0.6579,0.458,0.462,16924,18301,0 days 00:17:18,0 days 00:17:44,0.5227,0.4773,0.5528,0.5166,0.0067,0.0338,0.0006,0.0456
Akali,Camille,84,164,2.04,2.06,0.4848,0.5152,0.423,0.403,18663,17642,0 days 00:17:48,0 days 00:18:15,0.4886,0.5114,0.4776,0.5008,0.0869,0.0055,0.2186,0.0107
Malzahar,Vladimir,90,8,2.52,2.17,0.4565,0.5435,0.406,0.404,21145,17310,0 days 00:18:44,0 days 00:16:50,0.5819,0.4181,0.5242,0.4893,0.0138,0.0362,0.0045,0.0247
Yone,Tristana,777,18,1.81,2.22,0.4273,0.5727,0.372,0.416,14698,16520,0 days 00:14:48,0 days 00:16:44,0.475,0.525,0.4847,0.5027,0.0629,0.0094,0.0515,0.0498
Lucian,Jayce,236,126,2.08,2.04,0.5723,0.4277,0.432,0.425,18274,18859,0 days 00:17:21,0 days 00:16:31,0.4962,0.5038,0.4617,0.5113,0.0463,0.0174,0.0429,0.0497
Vladimir,Xerath,8,101,2.22,3.09,0.5343,0.4657,0.401,0.471,19682,25519,0 days 00:18:06,0 days 00:18:55,0.4908,0.5092,0.4893,0.5026,0.0362,0.0391,0.0247,0.0496
Orianna,Ahri,61,103,2.31,2.81,0.4052,0.5948,0.429,0.432,16603,15915,0 days 00:18:09,0 days 00:18:13,0.4606,0.5394,0.4652,0.5163,0.0305,0.0383,0.003,0.004
Fizz,Ryze,105,13,3.04,1.7,0.6846,0.3154,0.444,0.383,17042,17394,0 days 00:16:59,0 days 00:18:14,0.5714,0.4286,0.4952,0.4512,0.0313,0.0154,0.0728,0.0025
Sett,Yone,875,777,2.25,1.83,0.7205,0.2795,0.438,0.412,20413,19830,0 days 00:18:01,0 days 00:16:26,0.5268,0.4732,0.5113,0.4847,0.0199,0.0629,0.1052,0.0515
Riven,Viego,92,234,1.89,1.91,0.5573,0.4427,0.394,0.436,15371,16900,0 days 00:16:54,0 days 00:16:47,0.5032,0.4968,0.5219,0.5035,0.0064,0.053,0.0043,0.1378
Kled,Renekton,240,58,2.63,1.95,0.5733,0.4267,0.467,0.406,18348,16971,0 days 00:16:56,0 days 00:16:48,0.4587,0.5413,0.5388,0.4974,0.009,0.0196,0.0122,0.1333
Akali,Ahri,84,103,2.16,2.58,0.4947,0.5053,0.422,0.445,18453,19419,0 days 00:17:44,0 days 00:19:28,0.4766,0.5234,0.4776,0.5163,0.0869,0.0383,0.2186,0.004
Annie,Qiyana,1,246,2.36,1.99,0.4365,0.5635,0.468,0.456,18926,17896,0 days 00:18:03,0 days 00:18:20,0.5128,0.4872,0.5412,0.5096,0.0109,0.0724,0.0012,0.1252
Malzahar,Akali,90,84,2.47,2.3,0.4038,0.5962,0.429,0.425,20317,16921,0 days 00:19:24,0 days 00:17:09,0.5662,0.4338,0.5242,0.4776,0.0138,0.0869,0.0045,0.2186
